"LANGUAGE","简体中文"
"MOD_NAME","路缘高度调节工具"
"MOD_DESCRIPTION","降低默认路缘高度。","Mod description, as displayed in the content manager."
"OPTIONS_GENERAL","综合信息","Options panel tab - general options."
"OPTIONS_ROADS","道路","Options panel tab - road options."
"OPTIONS_PATHS","路径","Options panel tab - path options."
"CURBS","路缘","Options panel section - curb settings."
"BRIDGES","桥梁","Options panel section - bridge settings."
"ADJUST_PILLARS","自动调整现有桥柱的高度","Options panel checkbox."
"DO_PATHS","启用乐园生活/大学行人道路自定义","Options panel checkbox."
"PATH_HEIGHT","乐园生活/大学行人道路高度","Options panel slider."
"PATH_CURB_HEIGHT","乐园生活/大学行人道路路肩高度","Options panel slider."
"CURB_HEIGHT","新的路缘高度","Options panel slider."
"DO_LODS","同时调节LODs","Options panel checkbox."
"DEFAULTS","恢复默认设置","Button to restore default mod settings."
"REVERT","移除调整","Button to revert to game defaults."
"APPLY","应用","Button to apply current settings."
"DO_BRIDGES","启用桥板厚度减小功能","Options panel checkbox."
"BRIDGE_THRESHOLD","起始缩放阈值","Options panel slider."
"BRIDGE_SCALE","深度缩放比例","Options panel slider."
"DO_TRAM_WIRES","调整有轨电车电缆支柱的高度","Options panel checkbox."
"CHA_130_0","路缘高度调整器现在可以调整桥板厚度了！在设置中启用该选项"
"CHA_131_0","添加对停车场道路Ⅱ的支持（Parking Lot Roads II）"
"CHA_140_0","路肩高度调节器现在支持改变乐园生活/大学道路路肩高度"
"CHA_150_0","支持clus的LRT轨道"
"CHA_150_1","支持hockenheim95的Big Suburbs 2-lane道路"
"CHA_150_2","支持siudowski的0.1m sunken + Prague Curbs道路"
"CHA_151_0","支持Lost Gecko的Paris 1900 Cobblestone道路"
"CHA_152_0","支持 Urbanist 的 Cobblestone Lane （1地块宽度）"
"CHA_152_1","与 81 Tiles 2 兼容。"
"CHA_160_0","增加调整电车接触网高度以适应道路高度变化的能力"
"CHA_160_1","从桥梁调整中排除了 Hangang Expressways"
